date,open,high,low,close,volume
2025-01-02,8.3344021300,8.4511032100,8.0329243400,8.0912748800,6310000
2025-01-03,8.1107250600,8.1885257800,7.9356734400,7.9745738000,5467680
2025-01-06,7.9842988900,8.1204501500,7.9356734400,8.0718247000,4708700
2025-01-07,8.0718247000,8.1204501500,7.7995221800,7.8286974500,8089000
2025-01-08,7.8189723600,7.8870479900,7.7217214600,7.8578727200,4986750
2025-01-09,7.8481476300,7.8481476300,7.6536458300,7.6633709200,4961900
2025-01-10,7.6633709200,7.7022712800,7.5952952900,7.5952952900,2538900
2025-01-13,7.5952952900,7.6633709200,7.5174945700,7.6341956500,2630100
2025-01-14,7.6341956500,7.7411716400,7.6244705600,7.7217214600,5248510
2025-01-15,7.7217214600,7.7800720000,7.6730960100,7.7022712800,3656500
2025-01-16,7.7217214600,7.8092472700,7.6828211000,7.7119963700,3022100
2025-01-17,7.6925461900,7.7703469100,7.6341956500,7.7411716400,2336700
2025-01-20,7.7606218200,7.8384225400,7.7314465500,7.7606218200,2798700
2025-01-21,7.7995221800,7.8092472700,7.5758451100,7.5952952900,5883782
2025-01-22,7.5855702000,7.7411716400,7.5369447500,7.6925461900,4485882
2025-01-23,7.7119963700,7.8578727200,7.6925461900,7.7022712800,4239810
2025-01-24,7.7022712800,7.7800720000,7.6633709200,7.7703469100,3324200
2025-01-27,7.7606218200,8.0037490700,7.7606218200,7.9259483500,5111874
2025-02-05,8.0037490700,8.0037490700,7.7703469100,7.7800720000,5699998
2025-02-06,7.7800720000,7.8384225400,7.7217214600,7.8286974500,3405259
2025-02-07,7.8675978100,7.8675978100,7.7606218200,7.7800720000,12315700
2025-02-10,7.7800720000,7.8189723600,7.6730960100,7.7411716400,11125108
2025-02-11,7.7411716400,7.9064981700,7.7217214600,7.8773229000,10862200
2025-02-12,7.8578727200,7.9648487100,7.7897970900,7.8286974500,4985672
2025-02-13,7.8870479900,7.8870479900,7.7897970900,7.7995221800,4587600
2025-02-14,7.7995221800,7.9162232600,7.7606218200,7.8481476300,5798218
2025-02-17,7.8578727200,7.8675978100,7.7897970900,7.8384225400,4391525
2025-02-18,7.8384225400,7.8870479900,7.7897970900,7.8092472700,3962700
2025-02-19,7.8286974500,7.8481476300,7.7897970900,7.8092472700,3793687
2025-02-20,7.7995221800,7.8286974500,7.7411716400,7.8189723600,3881084
2025-02-21,7.8092472700,7.8286974500,7.7606218200,7.7897970900,3925883
2025-02-24,7.8092472700,8.0620996100,7.7800720000,8.0523745200,10344273
2025-02-25,8.0329243400,8.1301752400,7.9551236200,8.0231992500,6085208
2025-02-26,8.0523745200,8.4122028500,7.9745738000,8.3441272200,14861784
2025-02-27,8.4122028500,8.4316530300,8.2177010500,8.2663265000,6824313
2025-02-28,8.2955017700,8.2955017700,8.1009999700,8.1690756000,7039026
2025-03-03,8.1982508700,8.2468763200,8.0329243400,8.0426494300,6339100
2025-03-04,8.0912748800,8.1009999700,8.0037490700,8.0329243400,4202113
2025-03-05,8.0426494300,8.0523745200,7.9356734400,7.9842988900,4196428
2025-03-06,8.0037490700,8.0329243400,7.8870479900,7.9842988900,7000700
2025-03-07,7.9648487100,7.9940239800,7.9356734400,7.9745738000,4766647
2025-03-10,7.9842988900,7.9940239800,7.9453985300,7.9940239800,3780624
2025-03-11,7.9551236200,7.9940239800,7.9064981700,7.9940239800,3983359
2025-03-12,7.9940239800,8.0426494300,7.9551236200,8.0231992500,4457137
2025-03-13,8.0329243400,8.1107250600,7.9842988900,8.0912748800,5494369
2025-03-14,8.1009999700,8.1593505100,8.0523745200,8.1301752400,4423569
2025-03-17,8.1690756000,8.4024777600,8.1204501500,8.3538523100,9107566
2025-03-18,8.3441272200,8.4024777600,8.2663265000,8.2955017700,5493100
2025-03-19,8.2760515900,8.3246770400,8.2177010500,8.2857766800,3919400
2025-03-20,8.2857766800,8.3344021300,8.1885257800,8.2274261400,4351100
2025-03-21,8.1982508700,8.2663265000,8.1690756000,8.2274261400,3462400
2025-03-24,8.2079759600,8.2760515900,8.1593505100,8.2566014100,4494800
2025-03-25,8.2663265000,8.3538523100,8.2274261400,8.3441272200,6034363
2025-03-26,8.3441272200,8.3830275800,8.2955017700,8.3441272200,3155400
2025-03-27,8.3246770400,8.3635774000,8.2760515900,8.3052268600,2489800
2025-03-28,8.2857766800,8.3830275800,8.2663265000,8.3246770400,4195041
2025-03-31,8.2857766800,8.2955017700,8.1204501500,8.1982508700,5926600
2025-04-01,8.2079759600,8.3635774000,8.1885257800,8.3149519500,6411200
2025-04-02,8.3149519500,8.3538523100,8.1496254200,8.1690756000,4124000
2025-04-03,8.1301752400,8.2955017700,8.1204501500,8.2566014100,3859800
2025-04-07,8.0523745200,8.0912748800,7.4396938500,7.5272196600,12433100
2025-04-08,7.5758451100,7.9551236200,7.5758451100,7.9064981700,11865581
2025-04-09,7.8481476300,7.8967730800,7.6147454700,7.7995221800,8298100
2025-04-10,7.8578727200,7.9064981700,7.7606218200,7.8384225400,6419457
2025-04-11,7.7897970900,7.8675978100,7.7606218200,7.7800720000,3523000
2025-04-14,7.8189723600,7.8384225400,7.7800720000,7.7995221800,3250920
2025-04-15,7.8092472700,7.8286974500,7.7508967300,7.8092472700,3150800
2025-04-16,7.8092472700,7.8384225400,7.7508967300,7.8189723600,3681690
2025-04-17,7.8092472700,7.8773229000,7.7703469100,7.8481476300,2975799
2025-04-18,7.8384225400,7.8481476300,7.7606218200,7.7995221800,2381316
2025-04-21,7.7897970900,7.8286974500,7.7703469100,7.8092472700,2040916
