date,open,high,low,close,volume
2025-01-02,3.4000000000,3.4700000000,3.3000000000,3.3400000000,338824900
2025-01-03,3.3400000000,3.3700000000,3.1000000000,3.1100000000,380305366
2025-01-06,3.0700000000,3.1000000000,2.9600000000,3.0100000000,332488313
2025-01-07,3.0700000000,3.1900000000,3.0600000000,3.1700000000,396608033
2025-01-08,3.1800000000,3.2400000000,3.0400000000,3.2100000000,376880355
2025-01-09,3.2000000000,3.2800000000,3.1700000000,3.2200000000,268138134
2025-01-10,3.1900000000,3.2400000000,3.0800000000,3.0800000000,235431948
2025-01-13,3.0300000000,3.1000000000,3.0000000000,3.0600000000,167314400
2025-01-14,3.0600000000,3.2400000000,3.0600000000,3.2200000000,329659882
2025-01-15,3.2000000000,3.2400000000,3.1300000000,3.1700000000,262699109
2025-01-16,3.1800000000,3.3100000000,3.1600000000,3.2700000000,391567246
2025-01-17,3.2400000000,3.4300000000,3.2100000000,3.3400000000,447024213
2025-01-20,3.5000000000,3.5500000000,3.3800000000,3.3900000000,416526144
2025-01-21,3.3700000000,3.4100000000,3.2500000000,3.2900000000,287681861
2025-01-22,3.2500000000,3.3800000000,3.2100000000,3.2800000000,235380790
2025-01-23,3.3500000000,3.4300000000,3.3000000000,3.3300000000,328243902
2025-01-24,3.3200000000,3.3300000000,3.2500000000,3.3000000000,246669294
2025-01-27,3.3500000000,3.3900000000,3.2500000000,3.2500000000,205850300
2025-02-05,3.2700000000,3.4200000000,3.2600000000,3.3700000000,333669251
2025-02-06,3.3400000000,3.4600000000,3.2700000000,3.4500000000,397865424
2025-02-07,3.4200000000,3.5300000000,3.3800000000,3.4800000000,450047122
2025-02-10,3.5100000000,3.8300000000,3.4900000000,3.7600000000,797342222
2025-02-11,3.6500000000,3.8600000000,3.6100000000,3.7000000000,655168472
2025-02-12,3.6700000000,3.9400000000,3.6700000000,3.8100000000,607137873
2025-02-13,3.7600000000,3.7800000000,3.6600000000,3.6600000000,478831167
2025-02-14,3.6300000000,3.7800000000,3.5900000000,3.7200000000,420526799
2025-02-17,3.7300000000,4.0900000000,3.7300000000,3.9300000000,853710208
2025-02-18,3.8300000000,3.8900000000,3.6600000000,3.6800000000,594826546
2025-02-19,3.6600000000,3.7300000000,3.6400000000,3.7000000000,359664395
2025-02-20,3.7000000000,3.7900000000,3.6800000000,3.7300000000,344207513
2025-02-21,3.6900000000,3.7300000000,3.5900000000,3.6800000000,411808037
2025-02-24,3.6400000000,3.6500000000,3.5500000000,3.5900000000,341419960
2025-02-25,3.5200000000,3.5900000000,3.5000000000,3.5400000000,224233125
2025-02-26,3.5700000000,3.7100000000,3.5700000000,3.6600000000,377222972
2025-02-27,3.6900000000,3.7600000000,3.5700000000,3.6300000000,305847307
2025-02-28,3.6000000000,3.6100000000,3.4100000000,3.4200000000,298601648
2025-03-03,3.4100000000,3.4600000000,3.3500000000,3.3700000000,213625256
