date,open,high,low,close,volume
2025-01-02,4.2171408000,4.3245217000,4.0999980000,4.1488075000,21895065
2025-01-03,4.1488075000,4.2073789000,3.8754743000,3.9047600000,20806400
2025-01-06,3.8949981000,4.0414266000,3.7290458000,3.9730933000,19410500
2025-01-07,4.0023790000,4.1195218000,3.9828552000,4.1195218000,13659500
2025-01-08,4.1097599000,4.1195218000,3.9145219000,4.0609504000,16380580
2025-01-09,4.0121409000,4.1488075000,4.0121409000,4.0511885000,10172600
2025-01-10,4.0316647000,4.0804742000,3.8852362000,3.8949981000,12473860
2025-01-13,3.8559505000,3.9242838000,3.7485696000,3.8852362000,13569960
2025-01-14,3.8949981000,4.0999980000,3.8657124000,4.0999980000,12936000
2025-01-15,4.1097599000,4.2659503000,4.0511885000,4.1292837000,16907520
2025-01-16,4.1195218000,4.1976170000,4.0707123000,4.1292837000,11881420
2025-01-17,4.0999980000,4.2757122000,4.0609504000,4.2073789000,20037192
2025-01-20,4.2171408000,4.4221407000,4.2073789000,4.3245217000,30279700
2025-01-21,4.7442834000,4.7540453000,4.6661882000,4.7540453000,23808692
2025-01-22,4.9590452000,4.9590452000,4.5783311000,4.6173787000,116072577
2025-01-23,4.6466644000,4.7638072000,4.5099978000,4.5099978000,68052230
2025-01-24,4.4904740000,4.5978549000,4.4514264000,4.5392835000,45151522
2025-01-27,4.5783311000,4.6271406000,4.4709502000,4.5295216000,33610759
2025-02-05,4.5588073000,4.5880930000,4.3928550000,4.4709502000,34361930
2025-02-06,4.4807121000,4.5685692000,4.4611883000,4.5588073000,29038886
2025-02-07,4.5783311000,4.6173787000,4.5099978000,4.5588073000,26623368
2025-02-10,4.5588073000,4.6271406000,4.5490454000,4.6173787000,26346860
2025-02-11,4.5978549000,4.6271406000,4.5392835000,4.6271406000,20114900
2025-02-12,4.5978549000,4.6661882000,4.5880930000,4.6564263000,20841700
2025-02-13,4.6564263000,4.6661882000,4.5295216000,4.5392835000,20376903
2025-02-14,4.5197597000,4.5685692000,4.4904740000,4.5099978000,13956200
2025-02-17,4.5392835000,4.6173787000,4.5295216000,4.6173787000,18792300
