code,date,close,stage,success,max_return,max_date
sh.603229,2025-08-20,11.47,🚀 启动期（重点）,True,9.067131647776801,2025-08-26
sz.300546,2025-04-15,16.44356565,🚀 启动期（重点）,True,12.021857923497265,2025-04-16
sz.300546,2025-08-15,31.56,🚀 启动期（重点）,False,3.54879594423321,2025-08-21
sz.300546,2025-10-15,26.65,🚀 启动期（重点）,False,4.015009380863041,2025-10-30
sz.300220,2025-07-01,18.44,🚀 启动期（重点）,False,-0.216919739696327,2025-07-02
sh.688226,2025-04-15,33.05205335,🚀 启动期（重点）,False,0.24074631357207735,2025-04-16
sh.688226,2025-08-20,47.15,🚀 启动期（重点）,True,18.048780487804876,2025-09-17
sh.688226,2025-09-05,41.44,🚀 启动期（重点）,True,43.026061776061795,2025-09-23
sh.605116,2025-08-20,24.69,🚀 启动期（重点）,False,0.4050222762251837,2025-08-21
sh.603201,2025-04-25,13.81339575,🚀 启动期（重点）,True,7.172251616696067,2025-05-21
sh.603201,2025-09-05,18.19771514,🚀 启动期（重点）,True,16.210295728368017,2025-09-18
sh.600708,2025-05-15,3.32,🚀 启动期（重点）,True,17.469879518072293,2025-06-04
sh.600708,2025-05-20,3.33,🚀 启动期（重点）,True,17.11711711711711,2025-06-04
sz.301117,2025-04-15,21.02563146,🚀 启动期（重点）,False,0.5091649694501055,2025-04-24
sz.301117,2025-09-25,36.88,🚀 启动期（重点）,True,20.661605206073745,2025-10-24
sz.301117,2025-10-20,38.35,🚀 启动期（重点）,True,16.036505867014338,2025-10-24
sh.688233,2025-08-20,37.55,🚀 启动期（重点）,True,7.8561917443408875,2025-08-25
sh.603200,2025-08-01,62.49,🚀 启动期（重点）,True,23.923827812449986,2025-08-29
sh.603200,2025-08-20,69.02,🚀 启动期（重点）,True,60.09852216748769,2025-09-11
sh.603200,2025-09-05,91.3,🚀 启动期（重点）,True,21.02957283680176,2025-09-11
sz.300235,2025-08-20,13.39,🚀 启动期（重点）,False,2.3151605675877427,2025-08-27
sz.300235,2025-09-15,12.65,🚀 启动期（重点）,True,5.691699604743074,2025-09-23
sz.300235,2025-10-20,13.01,🚀 启动期（重点）,True,46.1183704842429,2025-11-11
sz.300235,2025-11-20,15.28,🚀 启动期（重点）,True,11.91099476439792,2025-12-08
sz.300235,2025-11-25,16.19,🚀 启动期（重点）,True,6.60901791229154,2025-12-19
sh.600053,2025-11-10,20.4,🚀 启动期（重点）,False,1.6666666666666659,2025-11-13
sh.600053,2025-12-15,19.29,🚀 启动期（重点）,True,19.077242094349405,2026-01-09
sz.300553,2025-04-15,33.67903462,🚀 启动期（重点）,True,27.912288716308815,2025-05-07
sh.600721,2025-08-20,8.62,🚀 启动期（重点）,True,32.94663573085849,2025-09-04
sh.600721,2025-09-05,10.86,🚀 启动期（重点）,False,4.972375690607744,2025-09-08
sh.603228,2025-07-10,49.65,🚀 启动期（重点）,True,39.053373615307166,2025-07-31
sz.300221,2025-04-25,8.63,🚀 启动期（重点）,True,12.282734646581677,2025-05-08
sz.300221,2025-06-10,8.65,🚀 启动期（重点）,False,2.312138728323691,2025-06-16
sz.002465,2025-09-15,13.58,🚀 启动期（重点）,False,0.6627393225331359,2025-09-16
sh.688582,2025-04-15,64.3535962,🚀 启动期（重点）,True,7.4092076613427915,2025-05-07
sz.003009,2025-07-01,48.9221369,🚀 启动期（重点）,False,0.12259910093993082,2025-07-22
sz.003009,2025-12-10,61.66,🚀 启动期（重点）,True,54.37885176775868,2026-01-09
sz.002317,2025-10-20,18.2,🚀 启动期（重点）,True,53.68131868131868,2025-11-17
sz.000528,2025-12-05,12.79,🚀 启动期（重点）,False,1.407349491790473,2025-12-09
sz.002459,2025-10-15,14.3,🚀 启动期（重点）,True,8.67132867132866,2025-11-11
sz.300590,2025-04-15,11.98726518,🚀 启动期（重点）,True,5.896805896805907,2025-05-13
sz.300584,2025-06-25,41.2,🚀 启动期（重点）,False,0.3155339805825132,2025-07-01
